species;Blank_20200917_lowTE;Blank_20200917_swab;Blank_20201215_lowTE;Blank_20211216_lowTE;Blank_20210113_lowTE;Blank_20210114_lowTE;Blank_20210119_lowTE;Blank_20210121_lowTE;Blank_20210126_lowTE;Blank_20210128_lowTE;Blank_20210420_lowTE;Blank_20210420_swab;Blank_20210708_lowTE;Blank_20210713_lowTE;Blank_20210715_swab;Blank_20210721_lowTE;Blank_20210721_swab;Blank_20210727_lowTE;Blank_20210803_lowTE;Blank_20210805_lowTE;Blank_20210805_swab;Blank_20210811_lowTE;19_003a;19_003b;19_003c;19_003d;19_004b;19_004c;19_004d;19_005a;19_013b;19_013c;19_013d;19_015a;19_020a;19_020b;19_020c;19_027a;19_027b;19_027c;19_027d;19_028a;19_028b;19_028c;19_028d;19_029a;19_029b;19_029c;19_029d;19_030a;19_030b;19_030c;19_030d;19_033a;19_033b;19_033c;19_033d;19_037a;19_037b;19_037c;19_037d;19_041a;19_041b;19_041c;19_041d;19_046a;19_046b;19_046c;19_046d;19_050a;19_050b;19_050c;19_050d;19_053a;19_053b;20_004a;20_004b;20_004c;20_004d;20_017a;20_017b;20_017c;20_017d;20_021a;20_021b;20_021c;20_021d;20_022a;20_022b;20_022c;20_022d;20_023a;20_023b;20_023c;20_023d;20_028a;20_028b;20_028c;20_041a;20_041b;20_041c;20_052a;20_052b;20_052c;20_058a;20_058b;20_058c;20_061a;20_061b;20_061c
microbial;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;618691;255176;733268;968620;944353;795916;26647;4479;577276;374173;642756;446132;65242;1298974;388125;1553546;471895;1161976;362;89871;574733;1744955;76614;252326;256838;1075129;20344;44896;718883;427984;1421;8668;729534;1896497;0;1221489;456878;225692;440520;169070;897472;858410;245;687434;626383;180903;164827;154935;1873421;191256;226;239884;82;117945;745468;346609;38541;54820;759053;1104547;26359;2812264;450250;533618;602928;2077750;389428;137417;106903;381301;1012145;769930;667298;91247;469615;1268;33314;1022503;18092;124729;1006135;555793;314418;136024;19373;1172195;63621
type;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;control;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample;sample
