species	electiveCS_mean	VD_mean	b_mean	c_mean	d_mean	healthy_mean	genus_name	genus_lineage	species_name	species_lineage
Staphylococcus_haemolyticus	0.096055	71.653445	2.950224583	0.025244348	0.02021625	0.0	Staphylococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Staphylococcus haemolyticus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus
Streptococcus_oralis	0.0	0.46415	0.40514125	18.65185783	4.34742625	45.19011	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus oralis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis
Klebsiella_aerogenes	0.0	0.0	62.02952208	0.0	0.003470625	0.0	Klebsiella	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;	Klebsiella aerogenes	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella aerogenes
Escherichia_coli	0.0	51.06173	2.723310833	0.020523043	0.17305125	0.027313667	Escherichia	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;	Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
Haemophilus_parahaemolyticus	0.0	0.0	0.059918333	30.76315913	10.96541438	10.14136533	Haemophilus	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;	Haemophilus parahaemolyticus	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parahaemolyticus
Haemophilus_influenzae	0.0	0.0	0.98547	14.41720348	20.39742188	13.277286	Haemophilus	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;	Haemophilus influenzae	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus influenzae
Streptococcus_thermophilus	0.05337	0.0	1.508618333	24.73276174	1.05670125	18.23629733	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus thermophilus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus
Ureaplasma_parvum	0.0	44.19405	0.570105	0.0	0.0	0.0	Ureaplasma	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;	Ureaplasma parvum	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;Ureaplasma parvum
Enterococcus_faecalis	0.0	30.37901	13.18751708	0.046374348	0.310959375	0.127995	Enterococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;	Enterococcus faecalis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis
Veillonella_parvula	0.0	0.0	0.264412083	5.07137087	1.73354375	32.18649767	Veillonella	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;	Veillonella parvula	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula
